title,authors,publication_year,venue,doi,pmid,arxiv_id,abstract,citation_count,source
Influence maximization in social networks using graph embedding and graph neural network,Sanjay Kumar (N/A); Abhishek Mallik (N/A); Anavi Khetarpal (N/A); B. S. Panda (N/A),2022,Information Sciences,10.1016/j.ins.2022.06.075,,,,139,semantic_scholar
Balancing Efficiency and Expressiveness: Subgraph GNNs with Walk-Based Centrality,Joshua Southern (N/A); Yam Eitan (N/A); Guy Bar-Shalom (N/A); Michael M. Bronstein (N/A); Haggai Maron (N/A); Fabrizio Frasca (N/A),2025,arXiv.org,10.48550/arXiv.2501.03113,,2501.03113,"Subgraph GNNs have emerged as promising architectures that overcome the expressiveness limitations of Graph Neural Networks (GNNs) by processing bags of subgraphs. Despite their compelling empirical performance, these methods are afflicted by a high computational complexity: they process bags whose size grows linearly in the number of nodes, hindering their applicability to larger graphs. In this work, we propose an effective and easy-to-implement approach to dramatically alleviate the computational cost of Subgraph GNNs and unleash broader applications thereof. Our method, dubbed HyMN, leverages walk-based centrality measures to sample a small number of relevant subgraphs and drastically reduce the bag size. By drawing a connection to perturbation analysis, we highlight the strength of the proposed centrality-based subgraph sampling, and further prove that these walk-based centralities can be additionally used as Structural Encodings for improved discriminative power. A comprehensive set of experimental results demonstrates that HyMN provides an effective synthesis of expressiveness, efficiency, and downstream performance, unlocking the application of Subgraph GNNs to dramatically larger graphs. Not only does our method outperform more sophisticated subgraph sampling approaches, it is also competitive, and sometimes better, than other state-of-the-art approaches for a fraction of their runtime.",1,semantic_scholar
A New Wavelet-Based Algorithm for Compression of Emg Signals,Pedro de A Berger (N/A); F. de O. Nascimento (N/A); A. F. da Rocha (N/A); Joao L. A. Carvalho (N/A),2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,10.1109/IEMBS.2007.4352600,18002266,,,18,semantic_scholar
Convolutional Neural Network Techniques on X-ray Images for Covid-19 Classification,Eugenio Vocaturo (N/A); E. Zumpano (N/A); Luciano Caroprese (N/A),2021,IEEE International Conference on Bioinformatics and Biomedicine,10.1109/BIBM52615.2021.9669784,,,"At the end of 2019, the World Health Organization (WHO) referred that the Public Health Commission of Hubei Province, China, reported cases of severe and unknown pneumonia. A new coronavirus, SARS-CoV-2, was identified as responsible for the lung infection, called COVID-19 (coronavirus disease 2019). An early diagnosis of those carrying the virus becomes crucial to contain the spread, morbidity and mortality of the pandemic. The definitive diagnosis is made through specific tests, among which imaging tests play a very important role. Achieving this goal cannot be separated from radiological examination, and chest X-ray is the most easily available and least expensive alternative. The use of X-ray chest radiographs, as an element that assists the diagnosis and that allows the follow up of the disease, is the subject of many publications that adopt machine learning approaches. This work focuses on the most adopted Convolutional Neural Network Techniques applied on chest X-ray images.",9,semantic_scholar
End-to-End Representation Learning for Correlation Filter Based Tracking,Jack Valmadre (N/A); Luca Bertinetto (N/A); João F. Henriques (N/A); A. Vedaldi (N/A); Philip H. S. Torr (N/A),2017,Computer Vision and Pattern Recognition,10.1109/CVPR.2017.531,,1704.06036,"The Correlation Filter is an algorithm that trains a linear template to discriminate between images and their translations. It is well suited to object tracking because its formulation in the Fourier domain provides a fast solution, enabling the detector to be re-trained once per frame. Previous works that use the Correlation Filter, however, have adopted features that were either manually designed or trained for a different task. This work is the first to overcome this limitation by interpreting the Correlation Filter learner, which has a closed-form solution, as a differentiable layer in a deep neural network. This enables learning deep features that are tightly coupled to the Correlation Filter. Experiments illustrate that our method has the important practical benefit of allowing lightweight architectures to achieve state-of-the-art performance at high framerates.",1406,semantic_scholar
Convolutional Nonlinear Differential Recurrent Neural Networks for Crowd Scene Understanding,Naifan Zhuang (N/A); T. Kieu (N/A); Jun Ye (N/A); K. Hua (N/A),2018,International Journal of Semantic Computing,10.1142/S1793351X18400196,,,"With the growth of crowd phenomena in the real world, crowd scene understanding is becoming an important task in anomaly detection and public security. Visual ambiguities and occlusions, high density, low mobility, and scene semantics, however, make this problem a great challenge. In this paper, we propose an end-to-end deep architecture, convolutional nonlinear differential recurrent neural networks (CNDRNNs), for crowd scene understanding. CNDRNNs consist of GoogleNet Inception V3 convolutional neural networks (CNNs) and nonlinear differential recurrent neural networks (RNNs). Different from traditional non-end-to-end solutions which separate the steps of feature extraction and parameter learning, CNDRNN utilizes a unified deep model to optimize the parameters of CNN and RNN hand in hand. It thus has the potential of generating a more harmonious model. The proposed architecture takes sequential raw image data as input, and does not rely on tracklet or trajectory detection. It thus has clear advantages over the traditional flow-based and trajectory-based methods, especially in challenging crowd scenarios of high density and low mobility. Taking advantage of CNN and RNN, CNDRNN can effectively analyze the crowd semantics. Specifically, CNN is good at modeling the semantic crowd scene information. On the other hand, nonlinear differential RNN models the motion information. The individual and increasing orders of derivative of states (DoS) in differential RNN can progressively build up the ability of the long short-term memory (LSTM) gates to detect different levels of salient dynamical patterns in deeper stacked layers modeling higher orders of DoS. Lastly, existing LSTM-based crowd scene solutions explore deep temporal information and are claimed to be “deep in time.” Our proposed method CNDRNN, however, models the spatial and temporal information in a unified architecture and achieves “deep in space and time.” Extensive performance studies on the Violent-Flows, CUHK Crowd, and NUS-HGA datasets show that the proposed technique significantly outperforms state-of-the-art methods.",3,semantic_scholar
Neural parameters estimation for brain tumor growth modeling,I. Ezhov (N/A); Jana Lipková (N/A); Suprosanna Shit (N/A); F. Kofler (N/A); Nora Collomb (N/A); B. Lemasson (N/A); Emmanuel L Barbier (N/A); Bjoern H Menze (N/A),2019,International Conference on Medical Image Computing and Computer-Assisted Intervention,10.1007/978-3-030-32245-8_87,,1907.00973,"Understanding the dynamics of brain tumor progression is essential for optimal treatment planning. Cast in a mathematical formulation, it is typically viewed as evaluation of a system of partial differential equations, wherein the physiological processes that govern the growth of the tumor are considered. To personalize the model, i.e. find a relevant set of parameters, with respect to the tumor dynamics of a particular patient, the model is informed from empirical data, e.g., medical images obtained from diagnostic modalities, such as magnetic-resonance imaging. Existing model-observation coupling schemes require a large number of forward integrations of the biophysical model and rely on simplifying assumption on the functional form, linking the output of the model with the image information. In this work, we propose a learning-based technique for the estimation of tumor growth model parameters from medical scans. The technique allows for explicit evaluation of the posterior distribution of the parameters by sequentially training a mixture-density network, relaxing the constraint on the functional form and reducing the number of samples necessary to propagate through the forward model for the estimation. We test the method on synthetic and real scans of rats injected with brain tumors to calibrate the model and to predict tumor progression.",24,semantic_scholar
Multi-Branch Network for Color Image Denoising Using Dilated Convolution and Attention Mechanisms,Minh-Thien Duong (N/A); Bao-Tran Nguyen Thi (N/A); Seongsoo Lee (N/A); Min-Cheol Hong (N/A),2024,Italian National Conference on Sensors,10.3390/s24113608,38894398,,"Image denoising is regarded as an ill-posed problem in computer vision tasks that removes additive noise from imaging sensors. Recently, several convolution neural network-based image-denoising methods have achieved remarkable advances. However, it is difficult for a simple denoising network to recover aesthetically pleasing images owing to the complexity of image content. Therefore, this study proposes a multi-branch network to improve the performance of the denoising method. First, the proposed network is designed based on a conventional autoencoder to learn multi-level contextual features from input images. Subsequently, we integrate two modules into the network, including the Pyramid Context Module (PCM) and the Residual Bottleneck Attention Module (RBAM), to extract salient information for the training process. More specifically, PCM is applied at the beginning of the network to enlarge the receptive field and successfully address the loss of global information using dilated convolution. Meanwhile, RBAM is inserted into the middle of the encoder and decoder to eliminate degraded features and reduce undesired artifacts. Finally, extensive experimental results prove the superiority of the proposed method over state-of-the-art deep-learning methods in terms of objective and subjective performances.",6,semantic_scholar
Analysis of chaotic dynamical systems with autoencoders,N. Almazova (N/A); G. D. Barmparis (N/A); G. P. Tsironis (N/A),2021,Chaos,10.1063/5.0055673,34717343,2109.13078,"We focus on chaotic dynamical systems and analyze their time series with the use of autoencoders, i.e., configurations of neural networks that map identical output to input. This analysis results in the determination of the latent space dimension of each system and thus determines the minimal number of nodes necessary to capture the essential information contained in the chaotic time series. The constructed chaotic autoencoders generate similar maximal Lyapunov exponents as the original chaotic systems and thus encompass their essential dynamical information.",7,semantic_scholar
Neuroanniversary 2019,P. Eling (N/A),2019,Journal of the History of the Neurosciences,10.1080/0964704X.2018.1561070,30633648,,"Josef Gerstmann (1887–1969) graduated at the Medical University in Vienna in 1912. He worked there with Julius Wagner von Jauregg (1857–1940), lectured in neurology and psychiatry, and became a professor in 1930. He emigrated to the United States in 1938, working in Ohio, Washington, and New York, where he died in 1969. He published his best-known paper on finger-agnosia in 1924. The Gerstmann syndrome is characterized by finger agnosia, dysgraphia, dyscalculia, and left-right syndrome and has been associated with damage to the inferior parietal lobe of the dominant hemisphere. American neurophysiologist Warren Sturgish McCullough (1898–1969) and logician and computer scientist Walter Pitts (1923–1969) both passed away in 1969. McCulloch and Pitts created computational models based on mathematical algorithms called threshold logic, which split the inquiry into two distinct approaches, one focused on biological processes in the brain (single cell recording) and the other on the application of neural networks to artificial intelligence. Johannes Maagaard Nielsen (1890–1969), born in Aarslev, Denmark, moved to the United States in 1896. He became clinical professor of neurology at the University of California at Los Angeles. He was one of the founders of the Society of Biological Psychiatry and was its president from 1947 to 1948. In 1936, he published Agnosia, Apraxia, Aphasia: Their Value in Cerebral Localization, a textbook for neurologists. The Society for Neuroscience was founded in 1969 by Ralph W. Gerard (1900–1974), an American neurophysiologist and behavioral scientist. The first annual meeting of the society was held in Washington, D.C., in 1971, and it was attended by 1,396 scientists. The Society publishes the Journal of Neuroscience. In 1969, Suzuki Jiro and Takaku Akira published their study on “cerebrovascular moyamoya disease.” The disease produces an abnormal net-like blood vessel picture, characterized with the Japanese word moyamoya—an expression for something hazy like a puff of cigarette smoke drifting in the air. That same year, a case report of a patient with a selective impairment of auditory verbal short-term memory was presented in Brain by British neuropsychologists Elizabeth Warrington and Tim Shallice. This case triggered a completely different view of the role of short-term memory, now becoming a working memory.",0,semantic_scholar
